Player,Player Rating,Player Nationality,Player Side,Player Result,Player First Move,Opponent,Opponent Rating,Opponent Nationality,Opponent Side,Opponent Result,Opponent First Move,Variation,Termination,Moves,Date
Dontmesswithme_2,1048,United States of America,White,Resigned,e4,badar1945,1240,Pakistan,Black,Win,e5,Defense 3.Bc4,badar1945 won by resignation,48.0,2013.07.24
Dontmesswithme_2,883,United States of America,Black,Checkmated,c5,mikeofri101107,939,United States of America,White,Win,e4,Defense Open Variation,mikeofri101107 won by checkmate,54.0,2013.07.24
Dontmesswithme_2,1042,United States of America,White,Resigned,e4,deschuter,1221,United States of America,Black,Win,e5,Game Anti Fried Liver Defense,deschuter won by resignation,12.0,2013.07.24
Dontmesswithme_2,1014,United States of America,Black,Draw agreed,e5,chuchodomz,944,Mexico,White,Draw agreed,d4,Gambit,Game drawn by agreement,14.0,2013.07.24
Dontmesswithme_2,981,United States of America,Black,Win,c5,Saladin_wise,840,Ukraine,White,Checkmated,e4,Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6,Dontmesswithme_2 won by checkmate,38.0,2013.07.24
Dontmesswithme_2,997,United States of America,White,Draw agreed,e4,acmxxx,1040,Philippines,Black,Draw agreed,Nf6,Defense,Game drawn by agreement,1.0,2013.07.27
Dontmesswithme_2,952,United States of America,White,Resigned,e4,thomaseberhard75,1182,Germany,Black,Win,e5,Game Two Knights Defense 4.O O,thomaseberhard75 won by resignation,30.0,2013.07.27
Dontmesswithme_2,1007,United States of America,Black,Draw agreed,d5,avrahambenassaya,984,Israel,White,Draw agreed,e4,Defense Blackburne Kloosterboer Gambit 3.dxc6 Nxc6,Game drawn by agreement,19.0,2013.08.15
Dontmesswithme_2,948,United States of America,Black,Timeout,d5,zabirzarif,1170,Bangladesh,White,Win,e4,Defense,zabirzarif won on time,35.0,2013.08.15
Dontmesswithme_2,1044,United States of America,White,Win,e4,Dendar,1039,Germany,Black,Checkmated,e5,Pawn Opening Wayward Queen Attack,Dontmesswithme_2 won by checkmate,7.0,2013.08.19
Dontmesswithme_2,977,United States of America,Black,Timeout,d5,srhtsahin,1050,Turkey,White,Win,e4,Defense,srhtsahin won on time,17.0,2013.08.19
Dontmesswithme_2,902,United States of America,White,Timeout,e4,veljkostepanovic,875,Serbia,Black,Win,e5,Pawn Opening Wayward Queen Attack,veljkostepanovic won on time,18.0,2013.08.19
Dontmesswithme_2,886,United States of America,White,Draw agreed,f4,gamorris,792,United Kingdom of Great Britain and Northern Ireland,Black,Draw agreed,e6,Opening,Game drawn by agreement,21.0,2013.08.20
